SYMBOL	Case_cnt	Control_cnt	diff
SH2B2	6	3	3
DBF4B	4	1	3
KRTAP10-1	69	67	2
CLYBL	4	2	2
TAS2R19	69	67	2
ANXA9	5	3	2
RP4-801G22.2	42	40	2
ANKRD36BP2	13	11	2
NBPF14	53	51	2
SPATA4	17	15	2
CNTN5	35	33	2
OR4C16	40	38	2
CPN2	39	37	2
C17orf82	5	3	2
OPN4	4	2	2
ARMS2	28	26	2
LILRA6	3	1	2
RP11-274B21.1	22	20	2
PABPC1	50	48	2
OR2T2	14	12	2
OR4L1	55	53	2
SPATA8	16	14	2
RSPH10B2	5	3	2
ALDH3A1	4	2	2
SDCBP2	3	1	2
IGHV4-39	31	29	2
MDP1	8	6	2
OR2T29	6	4	2
METTL7B	3	1	2
THSD7B	5	3	2
PTH2R	3	1	2
SDR42E1	22	20	2
KIAA1919	4	2	2
IGLV4-60	42	40	2
FLG	9	7	2
CTD-2014N11.1	7	5	2
EME2	3	1	2
OR5H8P	33	31	2
BRD7	4	2	2
KIAA1755	5	3	2
TMEM255B	25	23	2
FANK1	4	2	2
MSR1	5	3	2
C6orf226	3	1	2
DUOX2	3	1	2
ANKRD20A9P	5	3	2
SULT1C3	4	2	2
FAM115C	3	1	2
SDHAP2	3	1	2
C3orf35	5	3	2
APLF	3	1	2
ARL11	4	2	2
CNKSR1	4	2	2
CFHR3	3	1	2
EFCAB6	3	1	2
SLC26A10	5	3	2
LILRB1	4	2	2
SIRPB1	6	4	2
KHDC1	8	6	2
PRAMEF7	5	3	2
FASTKD1	5	3	2
OR8K3	6	4	2
TGM4	4	2	2
TCP10	4	2	2
MAP2K7	3	1	2
CBWD5	8	6	2
RP1L1	3	1	2
AKR7L	5	3	2
MUC2	3	1	2
KLK14	3	1	2
CCDC121	3	1	2
GAB4	37	36	1
OR2B11	53	52	1
PNPLA1	4	3	1
TAAR9	61	60	1
POMZP3	54	53	1
ACSM4	12	11	1
ABCA10	9	8	1
ZRANB3	2	1	1
EIF3C	2	1	1
SPTBN5	5	4	1
WDR27	3	2	1
JSRP1	4	3	1
ZNF429	4	3	1
NPPA	20	19	1
OR13C9	2	1	1
OR1B1	31	30	1
CLCA3P	13	12	1
NBPF6	9	8	1
FAM71D	2	1	1
