SYMBOL	s
LENG9	5
LIMS1	5
LINC00032	5
LINC00471	5
LPA	5
MAMDC4	5
MMP1	5
MYCT1	5
MYLKP1	5
NAT1	5
NFIL3	5
OR2T29	5
OR2T5	5
OR4D6	5
OR51I1	5
P2RY4	5
POTEM	5
PTPRQ	5
RP11-384K6.6	5
RP11-613D13.4	5
SHROOM3	5
SPATA16	5
TAF1B	5
TBC1D29	5
TMEM225	5
TRAV19	5
TRIM64B	5
TSPO2	5
TTN	5
USP54	5
UTRN	5
VWA3B	5
ZNF595	5
ZNF599	5
AC007952.5	4
AC073343.1	4
ACTR3C	4
ADAM2	4
ADAM21	4
ADAMTSL4	4
AKAP9	4
ANKRD26P3	4
AP000593.6	4
ARID4A	4
C1orf127	4
C8orf44	4
CAPN9	4
CASP12	4
CASP8	4
CD33	4
CDO1	4
CFL1	4
COL6A5	4
COQ2	4
CWH43	4
DPPA4	4
DZANK1	4
EML2	4
EPX	4
EYA4	4
FAM153C	4
FAM26F	4
FAM81B	4
GS1-122H1.2	4
HPSE	4
KRT43P	4
LILRA2	4
LINC00922	4
LOXHD1	4
MMP2	4
MT-ND1	4
MT-ND5	4
MTBP	4
NBEAP1	4
OR11H7	4
OR1J1	4
OR8K3	4
P2RX7	4
PIEZO2	4
PKD1	4
PKHD1	4
PPIG	4
PRDM2	4
PRR21	4
RANP7	4
RAVER1	4
RBMXL1	4
RIPK3	4
RNF145	4
RP11-1212A22.1	4
RP11-141C7.3	4
RP11-15E18.4	4
RP11-163O19.1	4
RP11-17M16.1	4
RP11-223J15.2	4
RP11-317N6.1	4
RP11-321E8.4	4
RP11-386D6.1	4
RP11-553E24.3	4
RP11-685A21.1	4
RP3-454B23.1	4
RP5-965K10.3	4
RP5-968J1.1	4
RP9	4
RSPH10B2	4
SIRPB1	4
SLC9A8	4
SPHK1	4
SPTBN5	4
SURF1	4
SYNE1	4
TFAM	4
TMEM247	4
VIT	4
VPS13B	4
ZNF268	4
ZNF28	4
ZNF486	4
ZNF551	4
ABCC13	3
ABCC6	3
ABCD1	3
ABHD17A	3
AC005154.6	3
AC009518.2	3
AC027119.1	3
ACIN1	3
ADAM29	3
AFG3L1P	3
AIM2	3
AKR7L	3
ANKRD20A14P	3
ANKRD20A9P	3
ANXA9	3
ATM	3
ATP1A4	3
BPIFB3	3
C10orf11	3
C11orf16	3
C17orf82	3
C1orf185	3
C1QTNF8	3
C3orf35	3
C5orf27	3
C9orf152	3
CAD	3
CALML4	3
CAPG	3
CAPN7	3
CASP5	3
CCAR1	3
CCDC132	3
CCDC30	3
CDH6	3
CELF2	3
CEP104	3
CES5AP1	3
CHIT1	3
CNTRL	3
COL4A5	3
CPNE3	3
CT45A1	3
CTAGE15	3
CTD-2128F4.1	3
CUBNP2	3
CYP1A1	3
DEFB106B	3
ERV3-1	3
ESX1	3
FAM194A	3
FAM209B	3
FAM230A	3
FAM71A	3
FAM83A	3
FAM90A1	3
FASTKD1	3
FBXW8	3
FCGR1A	3
FES	3
FGGY	3
FLG-AS1	3
FOXD4L3	3
FRMPD2	3
GIMAP8	3
HMCN1	3
IARS	3
ICA1L	3
IGFBP6	3
IGFLR1	3
IGHV4-4	3
IGLV3-1	3
INMT	3
INO80E	3
ITGA10	3
JSRP1	3
KCTD14	3
KCTD18	3
KIAA1211	3
KIAA1324	3
KIAA1755	3
LINC00311	3
LPIN3	3
LTK	3
MAP3K4	3
MAP4	3
MAP9	3
MFAP4	3
MFRP	3
MICAL2	3
MNS1	3
MOGAT1	3
MPO	3
MSR1	3
MT-CO2	3
MUC8	3
NOTCH2	3
NOXO1	3
NUDT17	3
NUP107	3
OLFM4	3
OR4M2	3
OR51G1	3
OR5B12	3
OR5M3	3
OR7C1	3
ORC6	3
OTOF	3
PCNT	3
PDIA2	3
PDIA4	3
