SYMBOL	s
C1orf65	1
C1orf85	1
C20orf196	1
C20orf26	1
C2CD3	1
C3orf36	1
C3orf38	1
C4orf21	1
C4orf33	1
C6orf132	1
C7orf34	1
C8orf33	1
C8orf74	1
C9orf114	1
CAB39L	1
CACNA1G	1
CACNG3	1
CACYBP	1
CADM2	1
CADM3	1
CALML3	1
CAND1	1
CAPN10	1
CAPN5	1
CAPN7	1
CAPN9	1
CARD8	1
CARM1	1
CASC20	1
CASKIN2	1
CASP9	1
CASR	1
CASZ1	1
CBX3	1
CCDC101	1
CCDC104	1
CCDC108	1
CCDC124	1
CCDC132	1
CCDC135	1
CCDC180	1
CCDC30	1
CCDC7	1
CCDC85B	1
CCDC91	1
CCKAR	1
CCL17	1
CCM2L	1
CCNB3	1
CCNC	1
CCNT1	1
CD109	1
CD200	1
CD40	1
CD5	1
CD6	1
CD9	1
CD93	1
CDC25B	1
CDC42BPB	1
CDC7	1
CDCA2	1
CDCA3	1
CDH1	1
CDH10	1
CDH12	1
CDH26	1
CDH5	1
CDK12	1
CDK13	1
CDK14	1
CDR2	1
CECR1	1
CECR6	1
CEL	1
CELF4	1
CELSR2	1
CENPE	1
CENPJ	1
CENPN	1
CEP135	1
CEP250	1
CERKL	1
CERS6	1
CES3	1
CETN1	1
CFH	1
CFHR5	1
CFLAR	1
CGN	1
CHCHD7	1
CHD2	1
CHDC2	1
CHEK1	1
CHERP	1
CHFR	1
CHI3L2	1
CHRD	1
CHRNG	1
CIITA	1
CIR1	1
CLASRP	1
CLCC1	1
CLCN1	1
CLCN2	1
CLCN7	1
CLCNKA	1
CLDN15	1
CLIC6	1
CLIP2	1
CLK2	1
CLNK	1
CLSPN	1
CLSTN2	1
CLSTN3	1
CLVS1	1
CLVS2	1
CMC1	1
CMTM4	1
CMTR1	1
CMYA5	1
CNDP2	1
CNKSR2	1
CNOT1	1
CNOT10	1
CNOT2	1
CNTNAP1	1
COG4	1
COL17A1	1
COL18A1	1
COL22A1	1
COL3A1	1
COL4A6	1
COL5A2	1
COL6A3	1
COL7A1	1
COL9A3	1
COLQ	1
COMMD10	1
COMP	1
COPE	1
COX11	1
COX15	1
COX6A2	1
CPA1	1
CPB1	1
CPEB4	1
CPNE1	1
CPNE3	1
CPNE7	1
CPNE9	1
CPSF3	1
CRAMP1L	1
CREB3L4	1
CREG2	1
CRISPLD1	1
CROCCP2	1
CRTC2	1
CRY2	1
CRYAB	1
CRYBG3	1
CSAD	1
CSF3R	1
CSMD2	1
CSTF2	1
CT55	1
CTAGE1	1
CTAGE5	1
CTB-23I7.1	1
CTD-2004A9.1	1
CTD-3020H12.3	1
CTD-3088G3.8	1
CTH	1
CTNNBL1	1
CTNS	1
CTTN	1
CTTNBP2	1
CUBN	1
CUL4A	1
CUX1	1
CWF19L2	1
CXCR6	1
CXorf58	1
CYLC2	1
CYP1A2	1
CYP2W1	1
CYP4X1	1
CYP4Z1	1
DAAM1	1
DARC	1
DARS	1
DBF4	1
DBH	1
DCAF13	1
DCST1	1
DCT	1
DDB1	1
DDI1	1
DDX10	1
DDX17	1
DDX20	1
DDX41	1
DDX56	1
DEF6	1
DFNB31	1
DGAT2	1
DGCR14	1
DGKD	1
DHCR24	1
DHX35	1
DICER1	1
DIP2B	1
DISP1	1
DKK2	1
DKK4	1
DLGAP1	1
DLK1	1
DMBX1	1
DMRT1	1
DMXL2	1
DNAH10	1
DNAH14	1
DNAH5	1
DNAI1	1
DNAJB1	1
DNAJC13	1
DNAJC14	1
DNMT1	1
DNMT3B	1
DOCK7	1
DOPEY2	1
DPP10	1
DPP9	1
DPY19L1	1
DPY19L4	1
DQX1	1
DSC3	1
DSE	1
DSG4	1
DSP	1
DST	1
DTL	1
DTWD1	1
DTX3	1
DTYMK	1
DUS3L	1
DYDC1	1
